code,name,program
MTS233,Introduction to Supply Chain Management,MT
MTS314,International Trade and Business,MT
MTS381,Business Information Systems,MT
MTS392,Current Topics in MT I,MT
MTS433,Analysis Techniques for Complex Supply Chain Management Problems,MT
MTS455,Business Process Management,MT
MTS251,Economics for Business and Management,MT
MTS415,Strategic Management,MT
MTS387,Business Data Communications and Networking,MT
MTS388,Business Information Systems Analysis,MT
MTS389,Application Programming for Technologists,MT
MTS404,MT Project,MT
MTS404,EM Project,MT
MTS394,Introduction to Research Methodology in MT,MT
MMA800,Thesis,MT
MTS280,Introduction of Algorithms and Object Oriented Programming,MT
