code,name,program
SC126,Chemistry for Engineers,CGS
SC176,Chemistry Laboratory,CGS
SC139,Fundamental Physics for Engineers II,CGS
SCS180,Physics Laboratory,CGS
SC180,Physics Laboratory,CGS
BA291,Introduction of Business,CGS
GTS131,Integrated Life Science,CGS
ES898,Master Thesis,CGS
ES899,Doctoral Dissertation,CGS
EC210,Introductory Economics,CGS
ES803,Special Study,CGS
ES804,Selected Topic,CGS
SCS140M,Pre-Mathametics and Sciences,CGS
EL310,English for Engineering II,CGS
SCS140P,Pre-Mathematics and Sciences,CGS
SCS140G,Pre-General Sciences,CGS
TU130,Integrated Science and Technology,CGS
ES802,Research Methodology,CGS
SCS140M,Pre-Mathematics and Sciences,CGS
SCS140P,Pre-Physics,CGS
EL070,English Course I,CGS
ES801,Advanced Engineering Mathematics,CGS
EL210,English for Engineering I,CGS
ES806,Research Seminar,CGS
GTS132,Introduction to Life Sciences,CGS
ES805,Research Methodology,CGS
JP251,Japanese Society and Culture,CGS
GTS211,Differential Equations and Numerical Methods,CGS
JP171,Japanese1,CGS
JP172,Japanese 2,CGS
GTS112,Linear Algebra,CGS
SCS126,Chemistry for Engineers,CGS
SCS138,Applied Physics I,CGS
GTS132,Introduction to Biological  Science,CGS
GTS116,Mathematics for Technologists I,CGS
TU120,Integrated Social Sciences,CGS
MAS116,Mathematics I,CGS
SCS139,Applied Physics II,CGS
GTS231,Law and Technology,CGS
GTS111,Mathematical Analysis for Management Science,CGS
TU130,Integrated Sciences and Technology,CGS
TU110,Integrated Humanities,CGS
MAS117,Mathematics II,CGS
EL171,English Course II,CGS
GTS101,Skills Development  for Technical Studies,CGS
GTS117,Mathematics for Technologists II,CGS
MAS210,Mathematics III,CGS
GTS121,General Science I,CGS
GTS210,Mathematics for Technologists III,CGS
EL172,English Course III,CGS
GTS122,General Science II,CGS
GTS213,Calculus for Technologists II,CGS
GTS202,English Language Structures,CGS
TU100,Civic Education,CGS
TU100,Civic Engagement,CGS
GTS401,Intensive English Proficiency,CGS
TU140,Thai Studies,CGS
SCS176,Chemistry Laboratory,CGS
SCS183,Physics Laboratory I,CGS
MAS215,Differential Equations,CGS
GTS212,Calculus for Technologists I,CGS
ES601,Advanced Engineering Mathematics,CGS
ES605,Research Methodology,CGS
ES606,Research Seminar,CGS
TU101,"Thailand, ASEAN, and the World",CGS
SCS184,Physics Laboratory II,CGS
GTS302,Technical Writing,CGS
GTS133,Environmental Studies,CGS
GTS303,Communications in Business,CGS
ES603,Special Study,CGS
ES607,Selected Topic I,CGS
ES608,Selected Topic II,CGS
ES609,Selected Topic III,CGS
ES610,Research Methods and Communications,CGS
ES807,Thesis,CGS
ES808,Thesis,CGS
GTS111,Probability for Technologists,CGS
GTS112,Principles of Linear Algebra,CGS
TU050,English Skill Development,CGS
TU102,Social Life Skills,CGS
TU103,Life and Sustainability,CGS
TU104,"Critical Thinking, Reading, and Writing",CGS
TU105,Communication Skills in English,CGS
TU106,Creativity and Communication,CGS
CHS321,Introduction of Cell Biology,CHE
CHS424,Engineering Properties of Biomaterials,CHE
CHS351,Unit Operations I,CHE
CHS403,Senior Project I,CHE
CHS323,Biochemistry for Engineers,CHE
CHS333,Kinetics of Enzymatic System,CHE
CHS313,Statistics for Bioengineering,CHE
CHS332,Bioreactor Design,CHE
CHS406,Topics in CHE II,CHE
CHS453,Unit Operations in BioCHE,CHE
CHS404,Senior Project II,CHE
CHS405,Topics in CHE I,CHE
CHS322,Cell Biology Laboratory,CHE
CHS426,General Food Science,CHE
CHS324,Pharmaceutical Industry and Technology,CHE
CHS334,Bioreactor Design and Enzymatic System,CHE
CHS356,Transport Phenomena,CHE
CHS358,Chemical Processing Laboratory,CHE
CHS463,ES and Management,CHE
CHS454,CHE Laboratory,CHE
CHS459,Industrial Chemical Processes,CHE
CHS485,Special Study in CHE I,CHE
CHS486,Special Study in CHE II,CHE
ES804,Selected Topic,CHE
CHS359,Computer Application for CHE,CHE
CHS211,Organic Chemistry for Engineers,CHE
CHS373,Polymer Processing,CHE
CHS212,Physical Chemistry for Engineers,CHE
CHS372,Polymer Science and Development,CHE
CHS321,Cell Biology for Chemical Engineers,CHE
CHS417,Safety in Chemical Operations,CHE
CHS483,Special Topics in CHE III,CHE
CHS487,CHE Extended Training,CHE
CHS358,Chemical Process Laboratory,CHE
CHS429,Bio-Chemical Technology Laboratory,CHE
CHS415,Environmental CHE,CHE
